artist_familiarity,artist_hotness,duration,end_of_fade_in,key,loudness,release,song_hotness,start_of_fade_out,tempo,time_signature
0.780461749,0.574274731,280.21506,0.238,5,3.306,CalloftheMastodon,0.597640798,275.528,173.205,5
0.581793766,0.401997543,218.93179,0.247,1,11.197,FearItself,0.60211999,218.932,92.198,4
0.651045661,0.401723686,209.60608,0.066,2,4.501,MuertosVivos,0.604500739,198.699,129.738,4
0.426667857,0.332275747,269.81832,5.3,4,13.496,PinkWorld,0.265861049,258.99,86.643,4
0.360031166,0.296268954,218.77506,2.125,5,10.021,INeedYou,0,207.012,146.765,1
0.545159296,0.351555861,245.21098,0.357,7,7.545,TheWayHome,0.265861049,227.48,117.975,4
0.577508974,0.37948217,226.35057,0,9,6.632,Placer&Castigo,0,221.553,130.04,4
0.085512047,0.251936525,191.84281,0.38,10,7.75,Arrivederci,0,188.424,137.334,1
0.636423645,0.44793548,491.12771,0,7,8.576,Outskirts,0.405115722,486.034,119.826,4
0.419943148,0.330806357,228.5971,0.223,8,16.11,CrossCurrents,0.334706549,217.426,127.756,5
0.707199764,0.51346329,290.29832,0.145,7,5.271,Gold,0.684136191,285.605,150.062,4
0.32031437,0,165.69424,0.162,7,6.787,WhateverHappenedToBoredom?,0,157.391,138.331,4
0.489816269,0.328553015,220.78649,0.206,11,8.514,AllTheGoodTimes,0,207.656,110.382,1
0.677420465,0.378254686,269.58322,0,2,8.05,Uncafe_setantamatins,0.313562114,256.168,111.874,4
0.839962768,0.541888972,207.77751,0.061,7,4.264,MissMachine,0.666527846,204.696,166.862,4
0.435415818,0.306242264,124.86485,0,10,12.332,SueThompson-HerVeryBest,0.495293621,115.74,137.522,4
0.6090637,0.363651365,225.09669,0,7,5.908,Live,0.375984302,225.097,164.672,1
0.396455254,0.299230368,156.39465,0.562,8,18.051,ShakeAHand,0,150.634,95.957,3
0.706827671,0.416173065,342.56934,0.063,6,11.939,OccasionalRain,0.413739836,333.154,110.189,3
0.560557984,0.452789477,484.62322,28.172,4,15.335,TheEmperorFalls,0.377531645,480.363,138.007,4
0.640807102,0.418216518,164.80608,0,10,10.922,BestofTheShangri-Las,0.443291312,156.177,130.1,1
0.523714637,0.384611084,133.32853,0,4,9.983,20OfHerBest,0,130.009,160.839,1
0.809323793,0.488019842,450.84689,0.467,4,9.063,Piouhgd+Widowermaker!,0.593943076,426.104,130.586,4
0.597541218,0.382651971,128.83546,0,3,17.699,Cracks,0.394394856,121.423,90.932,3
0.495445922,0.294861262,456.30649,0.241,1,19.478,PiecesOfTime,0,451.315,89.667,4
0.527865076,0.393121934,198.73914,0,7,7.469,ThePalestGrey,0.450992312,193.016,115.061,4
0.668674533,0.467538444,95.68608,0,2,2.022,AMatch&SomeGasoline,0.528782481,87.806,115.887,4
0.814829656,0.735765693,271.49016,0.171,9,10.358,JumpBack-TheBestOfTheRollingStones_'71-'93,0.83449262,263.784,139.333,1
0.482356043,0.350078579,226.66404,0.311,0,12.716,LoMejorconLaOrq.Broadway,0,219.51,117.271,4
0.661080168,0.442765842,190.48444,0.258,3,15.663,GrownMan,0.510119314,177.029,102.428,4
0.701180874,0.466628889,277.78567,0.24,2,6.944,ABotheredMind,0.482137585,267.453,89.984,4
0.665322162,0.394217199,175.72526,0.734,0,10.93,Etiquette,0.785892288,168.699,141.919,4
0.717670525,0.479308459,344.05832,0.068,11,9.253,TooMuchTooSoon,0.561692411,335.029,154.953,1
0.669726188,0.427914247,251.42812,0.071,7,12.009,BossaNovaStories,0.43483809,237.598,86.091,5
0.569741152,0.412240601,269.7922,0.218,7,11.043,Love_Peace&Nappiness,0.405115722,257.416,90.218,4
0.643182773,0.500691341,241.162,0.549,9,8.531,TheRoadToHellPart2,0.767727748,230.342,180.149,4
0.411421048,0.338414818,122.64444,0.99,0,8.541,VanguardVisionaries,0.43483809,109.627,102.538,4
0.75100762,0.523699078,207.0722,2.583,0,6.629,BeYourselfTonight,0.38293509,202.757,84.164,4
0.54858513,0.383524247,300.79955,0,7,13.33,Hometown2001,0.610474258,298.347,124.175,4
0.749317801,0.481655862,228.46649,0,7,12.412,Eat/Kiss:MusicForTheFilmsByAndyWarhol,0.226555314,228.466,137.004,1
0.631946666,0.380704536,239.59465,0.311,7,21.552,TheUltimateMostRelaxingNewAgePianointheUniverse,0.415983118,236.507,106.33,4
0.668370612,0.45755391,165.61587,2.171,1,6.222,TheBerzerker,0,165.616,174.287,3
0.845768866,0.788805935,187.92444,0.328,0,5.907,HolyRollerNovocaine,0.685940227,180.344,116.823,4
0.407455644,0.30004649,276.50567,0.299,0,4.638,Jeuxdedames_vol.1(réalisationRonaldRubinel),0,261.956,101.972,4
0.778816717,0.554291489,144.50893,0.237,4,7.787,WhiteTrash......,0.671236027,140.057,152.622,4
0.711165787,0.466826993,246.69995,0.322,7,9.603,Cancióimal,0.62616576,224.049,112.903,4
0.443162398,0.30045446,84.03546,0.328,7,26.266,TheManfromSnowyRiver,0,75.79,115.642,4
0.400433513,0.266275286,273.52771,2.177,1,6.305,OneWorldOnePeople,0.199238262,268.893,125.013,4
0.477364752,0.337507289,298.84036,19.093,5,9.998,TalesOfWonder,0.265861049,289.46,113.277,4
0.617870116,0.36366811,161.38404,0.165,5,9.161,WaterbedHev,0.237733942,161.384,96.979,4
0.744641246,0.579988982,209.29261,0,8,4.865,TheBestOfBothWorlds,0.82448213,206.623,140.995,1
0.845601887,1.005941966,229.61587,0,11,4.882,TotalWorkoutRunning102-135-84bpmIdealForJogging_Running_Treadmill&GeneralFitness,0.624425493,213.664,105.206,4
0.905776889,0.598458501,426.89261,0.286,0,12.951,ThingsFallingApart,0.635536649,399.9,63.017,4
0.408389022,0.139247394,249.41669,0.647,2,6.693,OasisofLove,0.198785349,238.434,167.92,4
0.562463784,0.322485106,233.27302,0.386,0,2.658,Yeah.Well_Anyway....,0,231.178,132.022,4
0.481004583,0.335651839,187.24526,0.107,1,4.42,UnTitredeToune,0.249065795,178.625,183.92,1
0.449323615,0.343281882,194.11546,0.089,5,15.581,TheVeryBestOf,0.382723281,182.729,82.343,1
0.798645179,0.552413346,288.41751,0.113,2,8.165,LullabiesToParalyze,0.725121284,279.179,115.606,4
0.605109702,0.398547535,283.76771,0,2,8.7,TheSingles,0.665172241,271.83,113.677,4
0.454043995,0.421415103,239.3073,0.182,2,5.758,WhatYouThoughtYouHeard,0.554654767,220.264,86.938,4
0.543516131,0.404182207,206.75873,0.096,0,4.907,DaddyDon'tDisco,0.304169503,193.115,141.936,4
0.743129776,0.493566843,124.18567,0,1,10.296,Malpractice,0.57010593,121.005,85.008,5
0.430538907,0.316354001,223.4771,0.291,0,14.438,TheIncredibleKaiWindingTrombones,0,220.026,112.006,4
0.428375417,0.317833879,443.24526,0.23,1,13.002,StayingontheWatch,0.270775999,430.736,45.527,4
0.559278494,0.432011947,324.44036,0,7,11.829,PraiseHim...Live!,0.405115722,312.239,216.195,5
0.438887475,0.325148571,275.12118,0.34,7,6.29,SpontanousCombustion,0.242741879,272.933,132.428,4
0.57810363,0.414892612,294.66077,0.864,5,15.761,FromAllSides,0.386790177,282.564,168.307,4
0.541975108,0.384184258,357.82485,0.131,1,5.701,DavePearceBestoftheDanceYears1988-1992,0.511254835,353.785,130.016,5
0.683719468,0.412671631,198.3473,0.201,11,8.709,TheEquinox,0.460484845,182.184,175.769,4
0.614870934,0.628246419,261.95546,0,7,13.627,Timeless,0.488289876,253.452,100.194,3
0.432386477,0.28404741,171.49342,0.085,2,37.398,FifteenPoemsByDylanThomas,0,165.216,109.823,3
0.513829587,0.343185045,266.05669,0.23,1,13.836,TheEarlyTapes1975-1976,0,256.064,90.101,1
0.790922848,0.601184942,329.27302,0.45,8,7.103,Legacy,0.345802234,322.101,116.473,4
0.45466819,0,198.922,0.228,9,13.495,LouieBluieFilmSoundtrack,0.333554807,190.705,126.821,4
0.657406765,0.422472423,283.21914,0.258,2,15.144,DonnyHathaway,0.617365618,277.467,111.191,3
0.652367864,0.437964733,254.06649,0.43,4,6.01,Irfan_lehéros,0.394394856,249.562,137.888,1
0.624723768,0.403509673,162.53342,0.524,2,17.285,HomemadeIce-Cream,0.374796837,151.551,173.482,4
0.573605491,0.372251208,338.33751,0,2,14.248,CanWeGoHomeNow,0.265861049,328.986,130.027,4
0.555985053,0.326848818,126.51057,0,11,12.651,InNorthCarolina,0.233796474,121.702,110.168,4
0.662649695,0.363177861,193.4624,2.717,0,5.913,Electropop,0.215080319,184.274,119.979,4
0.70334944,0.498395338,292.8322,3.344,9,4.953,Underneath,0.466304831,273.589,133.306,4
0.434272037,0.301502462,241.10975,2.659,4,18.114,99Monkeys,0.480610618,230.429,152.267,3
0.733714696,0.459665457,270.68036,0.334,1,11.061,NothingElseMatters,0.26568338,267.906,166.275,4
0.661001337,0.446890727,301.81832,2.566,10,8.095,BestOfMaxiPriest,0.345802234,289.332,61.971,1
0.830252262,0.507965802,416.80934,0,6,7.982,Signify(SpecialEdition),0.82517354,396.533,124.04,5
0.554226467,0.424931835,413.36118,0,7,8.804,BravoAlaykiRarerecording,0,408.503,191.196,4
0.833178561,0.682263177,217.36444,0.224,10,5.152,EssentialR&BHitSelection,0.73738531,212.161,100.023,4
0.604820432,0.383877494,203.98975,0.161,11,11.976,TalkToYourDaughter,0.47212112,182.921,154.322,4
0.378013152,0.339408486,192.44363,0.485,5,10.229,AmericanSongbook-Bacharach,0,178.66,236.006,4
0.441593442,0.382869956,285.36118,0,11,6.284,NhaVitória,0.392008771,274.715,150.666,5
0.669500125,0.544446277,204.06812,0.415,6,5.157,HangingOn(PremierePerformancePlusTrack),0.236420182,193.562,160.165,4
0.530605798,0.350327605,127.9473,0.165,0,12.717,TheOutSoundFromWayIn!,0.444401715,123.222,135.78,4
0.593416049,0.395709548,240.74404,0,2,4.878,Pentagrammaton,0.543052864,240.744,135.535,7
0.631946666,0.380704536,192.20853,0.357,2,23.988,Pianissimo,0.608500079,183.229,139.189,3
0.618765785,0.409134869,215.30077,0.588,3,9.741,AuraluxReggaeShowcase,0,208.376,163.445,4
0.81444811,0.60797181,428.56444,4.267,4,8.403,PearlJam,0.659304669,414.697,105.994,3
0.780461749,0.574274731,654.28853,3.048,7,5.884,CrackTheSkye,0.626612803,638.462,118.433,4
0.605874049,0.433945514,306.72934,0,11,6.929,BehindTheBlue,0.270775999,276.149,96.007,4
0.635757022,0.379436972,127.05914,0.322,2,12.772,RCACountryLegends,0.494489518,114.724,148.357,4
0.786427083,0.512226738,44.35546,0,1,18.147,LOOK(OriginalMotionPictureSoundtrack),0.304169503,44.355,136.164,4
0.727230315,0.476559379,140.66893,0.078,6,28.347,Enjoy!,0.519448581,135.285,89.495,4
0.53938059,0.360583582,254.79791,0,10,7.309,Boo-Tay,0,236.141,107.529,3
0.075124762,0.370194701,143.0722,0.32,0,15.351,TheBestOfShelleyFabares[DigitalVersion],0,133.724,99.408,4
0.312415123,0.250601286,163.49995,2.171,9,25.694,InLondon_InLove,0,156.212,79.731,4
0.524700041,0.389765518,289.64526,0,0,9.435,OfMyTimes,0,286.18,188.502,1
